Time,Displacement,Lambda,S11,S22
0,0,1,0,0
5.00E-02,3.75E-02,1.00125,1.28E-03,4.50E-04
1.00E-01,7.50E-02,1.0025,1.36E-03,5.02E-04
1.50E-01,1.13E-01,1.00375,1.46E-03,5.56E-04
2.00E-01,1.50E-01,1.005,1.54E-03,6.08E-04
2.50E-01,1.88E-01,1.00625,1.62E-03,6.60E-04
3.00E-01,2.25E-01,1.0075,1.71E-03,7.12E-04
3.50E-01,2.63E-01,1.00875,1.80E-03,7.65E-04
4.00E-01,3.00E-01,1.01,1.89E-03,8.18E-04
4.50E-01,3.38E-01,1.01125,1.98E-03,8.71E-04
5.00E-01,3.75E-01,1.0125,2.07E-03,9.25E-04
5.50E-01,4.13E-01,1.01375,2.16E-03,9.80E-04
6.00E-01,4.50E-01,1.015,2.26E-03,1.03E-03
6.50E-01,4.88E-01,1.01625,2.36E-03,1.09E-03
7.00E-01,5.25E-01,1.0175,2.45E-03,1.15E-03
7.50E-01,5.63E-01,1.01875,2.56E-03,1.20E-03
8.00E-01,6.00E-01,1.02,2.66E-03,1.26E-03
8.50E-01,6.38E-01,1.02125,2.76E-03,1.32E-03
9.00E-01,6.75E-01,1.0225,2.87E-03,1.37E-03
9.50E-01,7.13E-01,1.02375,2.98E-03,1.43E-03
1,7.50E-01,1.025,3.09E-03,1.49E-03
1.05,7.88E-01,1.02625,3.20E-03,1.55E-03
1.1,8.25E-01,1.0275,3.31E-03,1.61E-03
1.15,8.63E-01,1.02875,3.43E-03,1.67E-03
1.2,9.00E-01,1.03,3.55E-03,1.73E-03
1.25,9.38E-01,1.03125,3.67E-03,1.80E-03
1.3,9.75E-01,1.0325,3.79E-03,1.86E-03
1.35,1.0125,1.03375,3.92E-03,1.92E-03
1.4,1.05,1.035,4.04E-03,1.99E-03
1.45,1.0875,1.03625,4.17E-03,2.05E-03
1.5,1.125,1.0375,4.31E-03,2.12E-03
1.55,1.1625,1.03875,4.44E-03,2.18E-03
1.6,1.2,1.04,4.58E-03,2.25E-03
1.65,1.2375,1.04125,4.72E-03,2.32E-03
1.7,1.275,1.0425,4.86E-03,2.39E-03
1.75,1.3125,1.04375,5.01E-03,2.46E-03
1.8,1.35,1.045,5.16E-03,2.53E-03
1.85,1.3875,1.04625,5.31E-03,2.60E-03
1.9,1.425,1.0475,5.47E-03,2.68E-03
1.95,1.4625,1.04875,5.63E-03,2.75E-03
2,1.5,1.05,5.79E-03,2.82E-03
2.05,1.5375,1.05125,5.95E-03,2.90E-03
2.1,1.575,1.0525,6.12E-03,2.98E-03
2.15,1.6125,1.05375,6.29E-03,3.05E-03
2.2,1.65,1.055,6.47E-03,3.13E-03
2.25,1.6875,1.05625,6.65E-03,3.21E-03
2.3,1.725,1.0575,6.83E-03,3.29E-03
2.35,1.7625,1.05875,7.01E-03,3.38E-03
2.4,1.8,1.06,7.20E-03,3.46E-03
2.45,1.8375,1.06125,7.40E-03,3.55E-03
2.5,1.875,1.0625,7.59E-03,3.63E-03
2.55,1.9125,1.06375,7.79E-03,3.72E-03
2.6,1.95,1.065,8.00E-03,3.81E-03
2.65,1.9875,1.06625,8.21E-03,3.90E-03
2.7,2.025,1.0675,8.42E-03,3.99E-03
2.75,2.0625,1.06875,8.64E-03,4.08E-03
2.8,2.1,1.07,8.86E-03,4.18E-03
2.85,2.1375,1.07125,9.09E-03,4.27E-03
2.9,2.175,1.0725,9.32E-03,4.37E-03
2.95,2.2125,1.07375,9.56E-03,4.47E-03
3,2.25,1.075,9.80E-03,4.57E-03
3.05,2.2875,1.07625,1.00E-02,4.67E-03
3.1,2.325,1.0775,1.03E-02,4.77E-03
3.15,2.3625,1.07875,1.05E-02,4.88E-03
3.2,2.4,1.08,1.08E-02,4.98E-03
3.25,2.4375,1.08125,1.11E-02,5.09E-03
3.3,2.475,1.0825,1.13E-02,5.20E-03
3.35,2.5125,1.08375,1.16E-02,5.31E-03
3.4,2.55,1.085,1.19E-02,5.42E-03
3.45,2.5875,1.08625,1.22E-02,5.54E-03
3.5,2.625,1.0875,1.25E-02,5.66E-03
3.55,2.6625,1.08875,1.28E-02,5.78E-03
3.6,2.7,1.09,1.31E-02,5.90E-03
3.65,2.7375,1.09125,1.34E-02,6.02E-03
3.7,2.775,1.0925,1.37E-02,6.14E-03
3.75,2.8125,1.09375,1.40E-02,6.27E-03
3.8,2.85,1.095,1.44E-02,6.40E-03
3.85,2.8875,1.09625,1.47E-02,6.53E-03
3.9,2.925,1.0975,1.51E-02,6.66E-03
3.95,2.9625,1.09875,1.54E-02,6.80E-03
4,3,1.1,1.58E-02,6.94E-03
4.05,3.0375,1.10125,1.61E-02,7.08E-03
4.1,3.075,1.1025,1.65E-02,7.22E-03
4.15,3.1125,1.10375,1.69E-02,7.36E-03
4.2,3.15,1.105,1.73E-02,7.51E-03
4.25,3.1875,1.10625,1.76E-02,7.66E-03
4.3,3.225,1.1075,1.80E-02,7.81E-03
4.35,3.2625,1.10875,1.85E-02,7.96E-03
4.4,3.3,1.11,1.89E-02,8.12E-03
4.45,3.3375,1.11125,1.93E-02,8.28E-03
4.5,3.375,1.1125,1.97E-02,8.44E-03
4.55,3.4125,1.11375,2.02E-02,8.61E-03
4.6,3.45,1.115,2.06E-02,8.77E-03
4.65,3.4875,1.11625,2.11E-02,8.94E-03
4.7,3.525,1.1175,2.15E-02,9.12E-03
4.75,3.5625,1.11875,2.20E-02,9.29E-03
4.8,3.6,1.12,2.25E-02,9.47E-03
4.85,3.6375,1.12125,2.30E-02,9.65E-03
4.9,3.675,1.1225,2.35E-02,9.84E-03
4.95,3.7125,1.12375,2.40E-02,1.00E-02
5,3.75,1.125,2.45E-02,1.02E-02
5.05,3.7875,1.12625,2.50E-02,1.04E-02
5.1,3.825,1.1275,2.56E-02,1.06E-02
5.15,3.8625,1.12875,2.61E-02,1.08E-02
5.2,3.9,1.13,2.67E-02,1.10E-02
5.25,3.9375,1.13125,2.72E-02,1.12E-02
5.3,3.975,1.1325,2.78E-02,1.14E-02
5.35,4.0125,1.13375,2.84E-02,1.16E-02
5.4,4.05,1.135,2.90E-02,1.19E-02
5.45,4.0875,1.13625,2.96E-02,1.21E-02
5.5,4.125,1.1375,3.02E-02,1.23E-02
5.55,4.1625,1.13875,3.09E-02,1.25E-02
5.6,4.2,1.14,3.15E-02,1.28E-02
5.65,4.2375,1.14125,3.22E-02,1.30E-02
5.7,4.275,1.1425,3.28E-02,1.32E-02
5.75,4.3125,1.14375,3.35E-02,1.35E-02
5.8,4.35,1.145,3.42E-02,1.37E-02
5.85,4.3875,1.14625,3.49E-02,1.40E-02
5.9,4.425,1.1475,3.56E-02,1.42E-02
5.95,4.4625,1.14875,3.63E-02,1.45E-02
6,4.5,1.15,3.71E-02,1.48E-02
6.05,4.5375,1.15125,3.78E-02,1.50E-02
6.1,4.575,1.1525,3.86E-02,1.53E-02
6.15,4.6125,1.15375,3.94E-02,1.56E-02
6.2,4.65,1.155,4.02E-02,1.58E-02
6.25,4.6875,1.15625,4.10E-02,1.61E-02
6.3,4.725,1.1575,4.18E-02,1.64E-02
6.35,4.7625,1.15875,4.26E-02,1.67E-02
6.4,4.8,1.16,4.34E-02,1.70E-02
6.45,4.8375,1.16125,4.43E-02,1.73E-02
6.5,4.875,1.1625,4.52E-02,1.76E-02
6.55,4.9125,1.16375,4.61E-02,1.79E-02
6.6,4.95,1.165,4.70E-02,1.83E-02
6.65,4.9875,1.16625,4.79E-02,1.86E-02
6.7,5.025,1.1675,4.88E-02,1.89E-02
6.75,5.0625,1.16875,4.98E-02,1.92E-02
6.8,5.1,1.17,5.07E-02,1.96E-02
6.85,5.1375,1.17125,5.17E-02,1.99E-02
6.9,5.175,1.1725,5.27E-02,2.03E-02
6.95,5.2125,1.17375,5.37E-02,2.06E-02
7,5.25,1.175,5.47E-02,2.10E-02
7.05,5.2875,1.17625,5.58E-02,2.13E-02
7.1,5.325,1.1775,5.68E-02,2.17E-02
7.15,5.3625,1.17875,5.79E-02,2.21E-02
7.2,5.4,1.18,5.90E-02,2.25E-02
7.25,5.4375,1.18125,6.01E-02,2.28E-02
7.3,5.475,1.1825,6.12E-02,2.32E-02
7.35,5.5125,1.18375,6.23E-02,2.36E-02
7.4,5.55,1.185,6.35E-02,2.40E-02
7.45,5.5875,1.18625,6.47E-02,2.44E-02
7.5,5.625,1.1875,6.59E-02,2.48E-02
7.55,5.6625,1.18875,6.71E-02,2.53E-02
7.6,5.7,1.19,6.83E-02,2.57E-02
7.65,5.7375,1.19125,6.96E-02,2.61E-02
7.7,5.775,1.1925,7.08E-02,2.66E-02
7.75,5.8125,1.19375,7.21E-02,2.70E-02
7.8,5.85,1.195,7.34E-02,2.75E-02
7.85,5.8875,1.19625,7.48E-02,2.79E-02
7.9,5.925,1.1975,7.61E-02,2.84E-02
7.95,5.9625,1.19875,7.75E-02,2.89E-02
8,6,1.2,7.89E-02,2.93E-02
8.05,6.0375,1.20125,8.03E-02,2.98E-02
8.1,6.075,1.2025,8.17E-02,3.03E-02
8.15,6.1125,1.20375,8.31E-02,3.08E-02
8.2,6.15,1.205,8.46E-02,3.13E-02
8.25,6.1875,1.20625,8.61E-02,3.18E-02
8.3,6.225,1.2075,8.76E-02,3.23E-02
8.35,6.2625,1.20875,8.91E-02,3.29E-02
8.4,6.3,1.21,9.07E-02,3.34E-02
8.45,6.3375,1.21125,9.23E-02,3.39E-02
8.5,6.375,1.2125,9.39E-02,3.45E-02
8.55,6.4125,1.21375,9.55E-02,3.50E-02
8.6,6.45,1.215,9.71E-02,3.56E-02
8.65,6.4875,1.21625,9.88E-02,3.62E-02
8.7,6.525,1.2175,1.00E-01,3.68E-02
8.75,6.5625,1.21875,1.02E-01,3.73E-02
8.8,6.6,1.22,1.04E-01,3.79E-02
8.85,6.6375,1.22125,1.06E-01,3.85E-02
8.9,6.675,1.2225,1.07E-01,3.91E-02
8.95,6.7125,1.22375,1.09E-01,3.98E-02
9,6.75,1.225,1.11E-01,4.04E-02
9.05,6.7875,1.22625,1.13E-01,4.10E-02
9.1,6.825,1.2275,1.15E-01,4.17E-02
9.15,6.8625,1.22875,1.17E-01,4.23E-02
9.2,6.9,1.23,1.19E-01,4.30E-02
9.25,6.9375,1.23125,1.21E-01,4.36E-02
9.3,6.975,1.2325,1.23E-01,4.43E-02
9.35,7.0125,1.23375,1.25E-01,4.50E-02
9.4,7.05,1.235,1.27E-01,4.57E-02
9.45,7.0875,1.23625,1.29E-01,4.64E-02
9.5,7.125,1.2375,1.31E-01,4.71E-02
9.55,7.1625,1.23875,1.33E-01,4.78E-02
9.6,7.2,1.24,1.35E-01,4.85E-02
9.65,7.2375,1.24125,1.37E-01,4.93E-02
9.7,7.275,1.2425,1.39E-01,5.00E-02
9.75,7.3125,1.24375,1.42E-01,5.08E-02
9.8,7.35,1.245,1.44E-01,5.15E-02
9.85,7.3875,1.24625,1.46E-01,5.23E-02
9.9,7.425,1.2475,1.48E-01,5.31E-02
9.95,7.4625,1.24875,1.51E-01,5.39E-02
10,7.5,1.25,1.53E-01,5.47E-02
10.05,7.5375,1.25125,1.55E-01,5.55E-02
10.1,7.575,1.2525,1.58E-01,5.63E-02
10.15,7.6125,1.25375,1.60E-01,5.71E-02
10.2,7.65,1.255,1.63E-01,5.80E-02
10.25,7.6875,1.25625,1.65E-01,5.88E-02
10.3,7.725,1.2575,1.68E-01,5.97E-02
10.35,7.7625,1.25875,1.70E-01,6.05E-02
10.4,7.8,1.26,1.73E-01,6.14E-02
10.45,7.8375,1.26125,1.76E-01,6.23E-02
10.5,7.875,1.2625,1.78E-01,6.32E-02
10.55,7.9125,1.26375,1.81E-01,6.41E-02
10.6,7.95,1.265,1.84E-01,6.50E-02
10.65,7.9875,1.26625,1.86E-01,6.59E-02
10.7,8.025,1.2675,1.89E-01,6.69E-02
10.75,8.0625,1.26875,1.92E-01,6.78E-02
10.8,8.1,1.27,1.95E-01,6.88E-02
10.85,8.1375,1.27125,1.98E-01,6.98E-02
10.9,8.175,1.2725,2.00E-01,7.07E-02
10.95,8.2125,1.27375,2.03E-01,7.17E-02
11,8.25,1.275,2.06E-01,7.27E-02
11.05,8.2875,1.27625,2.09E-01,7.37E-02
11.1,8.325,1.2775,2.12E-01,7.48E-02
11.15,8.3625,1.27875,2.15E-01,7.58E-02
11.2,8.4,1.28,2.18E-01,7.68E-02
11.25,8.4375,1.28125,2.22E-01,7.79E-02
11.3,8.475,1.2825,2.25E-01,7.90E-02
11.35,8.5125,1.28375,2.28E-01,8.00E-02
11.4,8.55,1.285,2.31E-01,8.11E-02
11.45,8.5875,1.28625,2.34E-01,8.22E-02
11.5,8.625,1.2875,2.38E-01,8.33E-02
11.55,8.6625,1.28875,2.41E-01,8.45E-02
11.6,8.7,1.29,2.44E-01,8.56E-02
11.65,8.7375,1.29125,2.48E-01,8.67E-02
11.7,8.775,1.2925,2.51E-01,8.79E-02
11.75,8.8125,1.29375,2.55E-01,8.91E-02
11.8,8.85,1.295,2.58E-01,9.02E-02
11.85,8.8875,1.29625,2.62E-01,9.14E-02
11.9,8.925,1.2975,2.65E-01,9.26E-02
11.95,8.9625,1.29875,2.69E-01,9.38E-02
12,9,1.3,2.72E-01,9.51E-02
12.05,9.0375,1.30125,2.76E-01,9.63E-02
12.1,9.075,1.3025,2.80E-01,9.75E-02
12.15,9.1125,1.30375,2.84E-01,9.88E-02
12.2,9.15,1.305,2.87E-01,1.00E-01
12.25,9.1875,1.30625,2.91E-01,1.01E-01
12.3,9.225,1.3075,2.95E-01,1.03E-01
12.35,9.2625,1.30875,2.99E-01,1.04E-01
12.4,9.3,1.31,3.03E-01,1.05E-01
12.45,9.3375,1.31125,3.07E-01,1.07E-01
12.5,9.375,1.3125,3.11E-01,1.08E-01
12.55,9.4125,1.31375,3.15E-01,1.09E-01
12.6,9.45,1.315,3.19E-01,1.11E-01
12.65,9.4875,1.31625,3.23E-01,1.12E-01
12.7,9.525,1.3175,3.27E-01,1.13E-01
12.75,9.5625,1.31875,3.31E-01,1.15E-01
12.8,9.6,1.32,3.35E-01,1.16E-01
12.85,9.6375,1.32125,3.40E-01,1.18E-01
12.9,9.675,1.3225,3.44E-01,1.19E-01
12.95,9.7125,1.32375,3.48E-01,1.21E-01
13,9.75,1.325,3.53E-01,1.22E-01
13.05,9.7875,1.32625,3.57E-01,1.23E-01
13.1,9.825,1.3275,3.61E-01,1.25E-01
13.15,9.8625,1.32875,3.66E-01,1.26E-01
13.2,9.9,1.33,3.70E-01,1.28E-01
13.25,9.9375,1.33125,3.75E-01,1.30E-01
13.3,9.975,1.3325,3.79E-01,1.31E-01
