U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
1.96771,1.393542,177.647,1.78E-01,,,9.86634,1.3946536,21.05,,,,,,,,,,
1.96777,1.393554,176.448,1.76E-01,,,9.86658,1.3946632,21.15,,,,,,,,,,
1.96784,1.393568,175.226,1.75E-01,,,9.86689,1.3946756,21.3,,,,,,,,,,
1.9679,1.39358,174.01,1.74E-01,,,9.86727,1.3946908,21.45,,,,,,,,,,
1.96796,1.393592,172.805,1.73E-01,,,9.86766,1.3947064,21.65,,,,,,,,,,
1.96803,1.393606,171.586,1.72E-01,,,9.86804,1.3947216,21.8,,,,,,,,,,
1.96809,1.393618,170.342,1.70E-01,,,9.86814,1.3947256,21.85,,,,,,,,,,
1.9681,1.39362,169.981,1.70E-01,,,9.86823,1.3947292,21.9,,,,,,,,,,
1.96812,1.393624,169.667,1.70E-01,,,9.86835,1.394734,21.95,,,,,,,,,,
1.96814,1.393628,169.279,1.69E-01,,,9.8685,1.39474,22.05,,,,,,,,,,
1.96816,1.393632,168.794,1.69E-01,,,9.86869,1.3947476,22.1,,,,,,,,,,
1.96819,1.393638,168.19,1.68E-01,,,9.86892,1.3947568,22.2,,,,,,,,,,
1.96823,1.393646,167.436,1.67E-01,,,9.86922,1.3947688,22.35,,,,,,,,,,
1.96828,1.393656,166.506,1.67E-01,,,9.86958,1.3947832,22.5,,,,,,,,,,
1.96834,1.393668,165.375,1.65E-01,,,9.86995,1.394798,22.7,,,,,,,,,,
1.9684,1.39368,164.255,1.64E-01,,,9.87031,1.3948124,22.85,,,,,,,,,,
1.96842,1.393684,163.932,1.64E-01,,,9.87041,1.3948164,22.9,,,,,,,,,,
1.96843,1.393686,163.647,1.64E-01,,,9.8705,1.39482,22.95,,,,,,,,,,
1.96845,1.39369,163.286,1.63E-01,,,9.87061,1.3948244,23,,,,,,,,,,
1.96847,1.393694,162.823,1.63E-01,,,9.87076,1.3948304,23.1,,,,,,,,,,
1.9685,1.3937,162.236,1.62E-01,,,9.87093,1.3948372,23.15,,,,,,,,,,
1.96854,1.393708,161.508,1.62E-01,,,9.87116,1.3948464,23.25,,,,,,,,,,
1.96858,1.393716,160.609,1.61E-01,,,9.87144,1.3948576,23.4,,,,,,,,,,
1.96864,1.393728,159.495,1.59E-01,,,9.87179,1.3948716,23.55,,,,,,,,,,
1.9687,1.39374,158.397,1.58E-01,,,9.87213,1.3948852,23.75,,,,,,,,,,
1.96875,1.39375,157.311,1.57E-01,,,9.87248,1.3948992,23.9,,,,,,,,,,
1.96881,1.393762,156.184,1.56E-01,,,9.87283,1.3949132,24.05,,,,,,,,,,
1.96887,1.393774,155.006,1.55E-01,,,9.87292,1.3949168,24.1,,,,,,,,,,
1.96893,1.393786,153.822,1.54E-01,,,9.87301,1.3949204,24.15,,,,,,,,,,
1.96894,1.393788,153.416,1.53E-01,,,9.87312,1.3949248,24.2,,,,,,,,,,
1.96897,1.393794,152.966,1.53E-01,,,9.87325,1.39493,24.25,,,,,,,,,,
1.96899,1.393798,152.408,1.52E-01,,,9.87342,1.3949368,24.35,,,,,,,,,,
1.96903,1.393806,151.713,1.52E-01,,,9.87364,1.3949456,24.45,,,,,,,,,,
1.96907,1.393814,150.842,1.51E-01,,,9.8739,1.394956,24.6,,,,,,,,,,
1.96913,1.393826,149.739,1.50E-01,,,9.87424,1.3949696,24.75,,,,,,,,,,
1.9692,1.39384,148.352,1.48E-01,,,9.87457,1.3949828,24.9,,,,,,,,,,
1.96926,1.393852,146.975,1.47E-01,,,9.8749,1.394996,25.05,,,,,,,,,,
1.96933,1.393866,145.616,1.46E-01,,,9.87523,1.3950092,25.25,,,,,,,,,,
1.96935,1.39387,145.223,1.45E-01,,,9.87557,1.3950228,25.4,,,,,,,,,,
1.96937,1.393874,144.88,1.45E-01,,,9.8759,1.395036,25.55,,,,,,,,,,
1.96939,1.393878,144.454,1.44E-01,,,9.87623,1.3950492,25.7,,,,,,,,,,
1.96941,1.393882,143.922,1.44E-01,,,9.87657,1.3950628,25.9,,,,,,,,,,
1.96945,1.39389,143.256,1.43E-01,,,9.87665,1.395066,25.95,,,,,,,,,,
1.96949,1.393898,142.42,1.42E-01,,,9.87673,1.3950692,25.95,,,,,,,,,,
1.96954,1.393908,141.378,1.41E-01,,,9.87684,1.3950736,26,,,,,,,,,,
1.9696,1.39392,140.089,1.40E-01,,,9.87697,1.3950788,26.1,,,,,,,,,,
1.96967,1.393934,138.786,1.39E-01,,,9.87713,1.3950852,26.15,,,,,,,,,,
1.96973,1.393946,137.458,1.37E-01,,,9.87729,1.3950916,26.25,,,,,,,,,,
1.96975,1.39395,137.071,1.37E-01,,,9.87745,1.395098,26.3,,,,,,,,,,
1.96977,1.393954,136.733,1.37E-01,,,9.87766,1.3951064,26.4,,,,,,,,,,
1.96979,1.393958,136.316,1.36E-01,,,9.87786,1.3951144,26.5,,,,,,,,,,
1.96981,1.393962,135.798,1.36E-01,,,9.87806,1.3951224,26.6,,,,,,,,,,
1.96984,1.393968,135.157,1.35E-01,,,9.87832,1.3951328,26.75,,,,,,,,,,
1.96988,1.393976,134.36,1.34E-01,,,9.87863,1.3951452,26.9,,,,,,,,,,
1.96993,1.393986,133.353,1.33E-01,,,9.87903,1.3951612,27.1,,,,,,,,,,
1.97,1.394,132.081,1.32E-01,,,9.87943,1.3951772,27.3,,,,,,,,,,
1.97006,1.394012,130.807,1.31E-01,,,9.87983,1.3951932,27.5,,,,,,,,,,
1.97012,1.394024,129.527,1.30E-01,,,9.88022,1.3952088,27.7,,,,,,,,,,
1.97018,1.394036,128.219,1.28E-01,,,9.88062,1.3952248,27.9,,,,,,,,,,
1.9702,1.39404,127.841,1.28E-01,,,9.88072,1.3952288,27.95,,,,,,,,,,
1.97021,1.394042,127.517,1.28E-01,,,9.88082,1.3952328,28,,,,,,,,,,
1.97023,1.394046,127.126,1.27E-01,,,9.88094,1.3952376,28.05,,,,,,,,,,
1.97026,1.394052,126.649,1.27E-01,,,9.8811,1.395244,28.1,,,,,,,,,,
1.97029,1.394058,126.055,1.26E-01,,,9.88125,1.39525,28.2,,,,,,,,,,
1.97032,1.394064,125.287,1.25E-01,,,9.88141,1.3952564,28.25,,,,,,,,,,
1.97037,1.394074,124.283,1.24E-01,,,9.8816,1.395264,28.35,,,,,,,,,,
1.97043,1.394086,123.027,1.23E-01,,,9.88184,1.3952736,28.5,,,,,,,,,,
1.97049,1.394098,121.824,1.22E-01,,,9.88208,1.3952832,28.6,,,,,,,,,,
1.9705,1.3941,121.491,1.21E-01,,,9.88233,1.3952932,28.7,,,,,,,,,,
1.97052,1.394104,121.205,1.21E-01,,,9.88263,1.3953052,28.85,,,,,,,,,,
1.97054,1.394108,120.848,1.21E-01,,,9.88301,1.3953204,29.05,,,,,,,,,,
1.97056,1.394112,120.393,1.20E-01,,,9.88339,1.3953356,29.2,,,,,,,,,,
1.97059,1.394118,119.82,1.20E-01,,,9.88348,1.3953392,29.25,,,,,,,,,,
1.97063,1.394126,119.106,1.19E-01,,,9.88358,1.3953432,29.3,,,,,,,,,,
1.97067,1.394134,118.19,1.18E-01,,,9.88369,1.3953476,29.35,,,,,,,,,,
1.97073,1.394146,116.998,1.17E-01,,,9.88384,1.3953536,29.45,,,,,,,,,,
1.97078,1.394156,115.815,1.16E-01,,,9.88403,1.3953612,29.55,,,,,,,,,,
1.97084,1.394168,114.682,1.15E-01,,,9.88426,1.3953704,29.65,,,,,,,,,,
1.9709,1.39418,113.559,1.14E-01,,,9.88455,1.395382,29.8,,,,,,,,,,
1.97095,1.39419,112.422,1.12E-01,,,9.88491,1.3953964,29.95,,,,,,,,,,
1.97101,1.394202,111.258,1.11E-01,,,9.88527,1.3954108,30.1,,,,,,,,,,
1.97106,1.394212,110.065,1.10E-01,,,9.88563,1.3954252,30.3,,,,,,,,,,
1.97112,1.394224,108.868,1.09E-01,,,9.88572,1.3954288,30.35,,,,,,,,,,
1.97118,1.394236,107.692,1.08E-01,,,9.88581,1.3954324,30.35,,,,,,,,,,
1.97123,1.394246,106.544,1.07E-01,,,9.88592,1.3954368,30.45,,,,,,,,,,
1.97129,1.394258,105.416,1.05E-01,,,9.88606,1.3954424,30.5,,,,,,,,,,
1.97135,1.39427,104.281,1.04E-01,,,9.88624,1.3954496,30.55,,,,,,,,,,
1.9714,1.39428,103.122,1.03E-01,,,9.88646,1.3954584,30.7,,,,,,,,,,
1.97146,1.394292,101.957,1.02E-01,,,9.88668,1.3954672,30.8,,,,,,,,,,
1.97151,1.394302,100.804,1.01E-01,,,9.8869,1.395476,30.9,,,,,,,,,,
1.97157,1.394314,99.648,9.96E-02,,,9.88718,1.3954872,31,,,,,,,,,,
1.97163,1.394326,98.48,9.85E-02,,,9.88752,1.3955008,31.15,,,,,,,,,,
1.97168,1.394336,97.316,9.73E-02,,,9.88786,1.3955144,31.3,,,,,,,,,,
1.97174,1.394348,96.168,9.62E-02,,,9.88821,1.3955284,31.45,,,,,,,,,,
1.9718,1.39436,95.017,9.50E-02,,,9.88855,1.395542,31.65,,,,,,,,,,
1.97185,1.39437,93.851,9.39E-02,,,9.8889,1.395556,31.8,,,,,,,,,,
1.97191,1.394382,92.681,9.27E-02,,,9.88924,1.3955696,31.95,,,,,,,,,,
1.97197,1.394394,91.513,9.15E-02,,,9.88959,1.3955836,32.1,,,,,,,,,,
1.97202,1.394404,90.352,9.04E-02,,,9.88993,1.3955972,32.25,,,,,,,,,,
1.97208,1.394416,89.207,8.92E-02,,,9.89027,1.3956108,32.4,,,,,,,,,,
1.97213,1.394426,88.08,8.81E-02,,,9.89062,1.3956248,32.55,,,,,,,,,,
1.97219,1.394438,86.956,8.70E-02,,,9.89073,1.3956292,32.6,,,,,,,,,,
1.97225,1.39445,85.826,8.58E-02,,,9.89086,1.3956344,32.65,,,,,,,,,,
1.9723,1.39446,84.682,8.47E-02,,,9.89103,1.3956412,32.7,,,,,,,,,,
1.97236,1.394472,83.54,8.35E-02,,,9.89124,1.3956496,32.8,,,,,,,,,,
1.97242,1.394484,82.426,8.24E-02,,,9.8915,1.39566,32.9,,,,,,,,,,
1.97243,1.394486,82.048,8.20E-02,,,9.89183,1.3956732,33.05,,,,,,,,,,
1.97246,1.394492,81.631,8.16E-02,,,9.89224,1.3956896,33.2,,,,,,,,,,
1.97248,1.394496,81.109,8.11E-02,,,9.89265,1.395706,33.35,,,,,,,,,,
1.97252,1.394504,80.457,8.05E-02,,,9.89306,1.3957224,33.5,,,,,,,,,,
1.97256,1.394512,79.642,7.96E-02,,,9.89347,1.3957388,33.65,,,,,,,,,,
1.97261,1.394522,78.618,7.86E-02,,,9.89388,1.3957552,33.8,,,,,,,,,,
1.97268,1.394536,77.338,7.73E-02,,,9.89429,1.3957716,33.95,,,,,,,,,,
1.97275,1.39455,76.071,7.61E-02,,,9.8947,1.395788,34.1,,,,,,,,,,
1.97282,1.394564,74.828,7.48E-02,,,9.89511,1.3958044,34.25,,,,,,,,,,
1.97288,1.394576,73.585,7.36E-02,,,9.89552,1.3958208,34.4,,,,,,,,,,
1.97292,1.394584,72.934,7.29E-02,,,9.89603,1.3958412,34.55,,,,,,,,,,
1.97295,1.39459,72.321,7.23E-02,,,9.89655,1.395862,34.7,,,,,,,,,,
1.97299,1.394598,71.567,7.16E-02,,,9.89706,1.3958824,34.9,,,,,,,,,,
1.97304,1.394608,70.621,7.06E-02,,,9.89757,1.3959028,35,,,,,,,,,,
1.97311,1.394622,69.436,6.94E-02,,,9.89809,1.3959236,35.15,,,,,,,,,,
1.97319,1.394638,67.984,6.80E-02,,,9.8986,1.395944,35.3,,,,,,,,,,
1.97322,1.394644,67.489,6.75E-02,,,9.89911,1.3959644,35.4,,,,,,,,,,
1.97325,1.39465,66.954,6.70E-02,,,9.89962,1.3959848,35.55,,,,,,,,,,
1.97329,1.394658,66.3,6.63E-02,,,9.90027,1.3960108,35.65,,,,,,,,,,
1.97334,1.394668,65.485,6.55E-02,,,9.90091,1.3960364,35.8,,,,,,,,,,
1.9734,1.39468,64.47,6.45E-02,,,9.90155,1.396062,35.9,,,,,,,,,,
1.97348,1.394696,63.216,6.32E-02,,,9.90219,1.3960876,35.95,,,,,,,,,,
1.97356,1.394712,61.974,6.20E-02,,,9.90283,1.3961132,36.05,,,,,,,,,,
1.97364,1.394728,60.765,6.08E-02,,,9.90363,1.3961452,36.1,,,,,,,,,,
1.97371,1.394742,59.589,5.96E-02,,,9.90463,1.3961852,36.1,,,,,,,,,,
1.97379,1.394758,58.432,5.84E-02,,,9.90589,1.3962356,36.1,,,,,,,,,,
1.97387,1.394774,57.284,5.73E-02,,,9.90745,1.396298,36.1,,,,,,,,,,
1.97395,1.39479,56.143,5.61E-02,,,9.90902,1.3963608,36.1,,,,,,,,,,
1.97403,1.394806,55.036,5.50E-02,,,9.91058,1.3964232,36.1,,,,,,,,,,
1.9741,1.39482,53.98,5.40E-02,,,9.91215,1.396486,36.1,,,,,,,,,,
1.9742,1.39484,52.716,5.27E-02,,,9.91371,1.3965484,36.1,,,,,,,,,,
1.9743,1.39486,51.469,5.15E-02,,,9.91567,1.3966268,36.1,,,,,,,,,,
1.9744,1.39488,50.268,5.03E-02,,,9.91763,1.3967052,36.1,,,,,,,,,,
1.9745,1.3949,49.148,4.91E-02,,,9.91958,1.3967832,36.1,,,,,,,,,,
1.97459,1.394918,48.115,4.81E-02,,,9.92203,1.3968812,36.1,,,,,,,,,,
1.97469,1.394938,47.128,4.71E-02,,,9.92447,1.3969788,36.1,,,,,,,,,,
1.97479,1.394958,46.18,4.62E-02,,,9.92692,1.3970768,36.1,,,,,,,,,,
1.97491,1.394982,45.105,4.51E-02,,,9.92998,1.3971992,36.1,,,,,,,,,,
1.97503,1.395006,44.138,4.41E-02,,,9.93303,1.3973212,36.1,,,,,,,,,,
1.97515,1.39503,43.273,4.33E-02,,,9.93609,1.3974436,36.1,,,,,,,,,,
1.97528,1.395056,42.476,4.25E-02,,,9.93991,1.3975964,36.1,,,,,,,,,,
1.9754,1.39508,41.773,4.18E-02,,,9.94469,1.3977876,36.1,,,,,,,,,,
1.97555,1.39511,41.14,4.11E-02,,,9.94946,1.3979784,36.1,,,,,,,,,,
1.9757,1.39514,40.715,4.07E-02,,,9.95424,1.3981696,36.1,,,,,,,,,,
1.97586,1.395172,40.44,4.04E-02,,,9.95573,1.3982292,36.1,,,,,,,,,,
1.97605,1.39521,40.344,4.03E-02,,,9.9576,1.398304,36.1,,,,,,,,,,
1.97629,1.395258,40.464,4.05E-02,,,9.95993,1.3983972,36.1,,,,,,,,,,
1.97658,1.395316,40.483,4.05E-02,,,9.96227,1.3984908,36.15,,,,,,,,,,
1.97696,1.395392,40.391,4.04E-02,,,9.9646,1.398584,36.15,,,,,,,,,,
1.97733,1.395466,40.484,4.05E-02,,,9.96533,1.3986132,36.2,,,,,,,,,,
1.9777,1.39554,40.521,4.05E-02,,,9.96624,1.3986496,36.2,,,,,,,,,,
1.97817,1.395634,40.505,4.05E-02,,,9.96738,1.3986952,36.2,,,,,,,,,,
1.97863,1.395726,40.518,4.05E-02,,,9.9688,1.398752,36.25,,,,,,,,,,
1.9791,1.39582,40.579,4.06E-02,,,9.97058,1.3988232,36.35,,,,,,,,,,
1.97968,1.395936,40.577,4.06E-02,,,9.9728,1.398912,36.4,,,,,,,,,,
1.98026,1.396052,40.596,4.06E-02,,,9.97558,1.3990232,36.55,,,,,,,,,,
1.98085,1.39617,40.683,4.07E-02,,,9.97645,1.399058,36.55,,,,,,,,,,
1.98157,1.396314,40.633,4.06E-02,,,9.97754,1.3991016,36.6,,,,,,,,,,
1.9823,1.39646,40.723,4.07E-02,,,9.9789,1.399156,36.6,,,,,,,,,,
1.98303,1.396606,40.765,4.08E-02,,,9.98059,1.3992236,36.65,,,,,,,,,,
1.98394,1.396788,40.753,4.08E-02,,,9.98272,1.3993088,36.7,,,,,,,,,,
1.98485,1.39697,40.816,4.08E-02,,,9.98537,1.3994148,36.7,,,,,,,,,,
1.98508,1.397016,40.809,4.08E-02,,,9.98868,1.3995472,36.7,,,,,,,,,,
1.9853,1.39706,40.765,4.08E-02,,,9.98972,1.3995888,36.7,,,,,,,,,,
1.98559,1.397118,40.64,4.06E-02,,,9.99101,1.3996404,36.7,,,,,,,,,,
1.98594,1.397188,40.414,4.04E-02,,,9.99263,1.3997052,36.7,,,,,,,,,,
1.98639,1.397278,39.979,4.00E-02,,,9.99465,1.399786,36.7,,,,,,,,,,
1.98694,1.397388,39.227,3.92E-02,,,9.99718,1.3998872,36.75,,,,,,,,,,
1.98712,1.397424,38.93,3.89E-02,,,10.0003,1.400012,36.8,,,,,,,,,,
1.98733,1.397466,38.549,3.85E-02,,,10.0043,1.400172,36.9,,,,,,,,,,
1.9876,1.39752,37.982,3.80E-02,,,10.0092,1.400368,37.05,,,,,,,,,,
1.98794,1.397588,37.2,3.72E-02,,,10.0105,1.40042,37.05,,,,,,,,,,
1.98837,1.397674,36.229,3.62E-02,,,10.0117,1.400468,37.1,,,,,,,,,,
1.9889,1.39778,35.161,3.52E-02,,,10.0132,1.400528,37.15,,,,,,,,,,
1.98903,1.397806,34.881,3.49E-02,,,10.0152,1.400608,37.15,,,,,,,,,,
1.98916,1.397832,34.639,3.46E-02,,,10.0176,1.400704,37.2,,,,,,,,,,
1.98933,1.397866,34.346,3.43E-02,,,10.0206,1.400824,37.2,,,,,,,,,,
1.98953,1.397906,34.023,3.40E-02,,,10.0244,1.400976,37.2,,,,,,,,,,
1.98979,1.397958,33.704,3.37E-02,,,10.0255,1.40102,37.2,,,,,,,,,,
1.99012,1.398024,33.417,3.34E-02,,,10.027,1.40108,37.2,,,,,,,,,,
1.99052,1.398104,33.174,3.32E-02,,,10.0289,1.401156,37.2,,,,,,,,,,
1.99102,1.398204,33.07,3.31E-02,,,10.0312,1.401248,37.25,,,,,,,,,,
1.99166,1.398332,33.14,3.31E-02,,,10.034,1.40136,37.3,,,,,,,,,,
1.99244,1.398488,32.961,3.30E-02,,,10.0376,1.401504,37.4,,,,,,,,,,
1.99323,1.398646,32.431,3.24E-02,,,10.0412,1.401648,37.5,,,,,,,,,,
1.99402,1.398804,31.594,3.16E-02,,,10.0421,1.401684,37.5,,,,,,,,,,
1.99481,1.398962,30.546,3.05E-02,,,10.0432,1.401728,37.5,,,,,,,,,,
1.9956,1.39912,29.645,2.96E-02,,,10.0446,1.401784,37.55,,,,,,,,,,
1.9958,1.39916,29.425,2.94E-02,,,10.0464,1.401856,37.55,,,,,,,,,,
1.996,1.3992,29.235,2.92E-02,,,10.0486,1.401944,37.55,,,,,,,,,,
1.99624,1.399248,28.966,2.90E-02,,,10.0513,1.402052,37.55,,,,,,,,,,
1.99655,1.39931,28.65,2.86E-02,,,10.0541,1.402164,37.55,,,,,,,,,,
1.99694,1.399388,28.32,2.83E-02,,,10.0568,1.402272,37.55,,,,,,,,,,
1.99742,1.399484,27.997,2.80E-02,,,10.0602,1.402408,37.6,,,,,,,,,,
1.99802,1.399604,27.649,2.76E-02,,,10.0613,1.402452,37.6,,,,,,,,,,
1.99877,1.399754,27.166,2.72E-02,,,10.0627,1.402508,37.65,,,,,,,,,,
1.99896,1.399792,27.015,2.70E-02,,,10.0643,1.402572,37.7,,,,,,,,,,
1.99915,1.39983,26.857,2.69E-02,,,10.0664,1.402656,37.75,,,,,,,,,,
1.99938,1.399876,26.681,2.67E-02,,,10.069,1.40276,37.8,,,,,,,,,,
1.99968,1.399936,26.49,2.65E-02,,,10.0697,1.402788,37.8,,,,,,,,,,
2.00004,1.400008,26.246,2.62E-02,,,10.0703,1.402812,37.8,,,,,,,,,,
2.0005,1.4001,25.921,2.59E-02,,,10.0712,1.402848,37.8,,,,,,,,,,
2.00108,1.400216,25.503,2.55E-02,,,10.0722,1.402888,37.85,,,,,,,,,,
2.00165,1.40033,25.221,2.52E-02,,,10.0735,1.40294,37.85,,,,,,,,,,
2.0018,1.40036,25.151,2.52E-02,,,10.0751,1.403004,37.85,,,,,,,,,,
2.00198,1.400396,25.064,2.51E-02,,,10.0771,1.403084,37.85,,,,,,,,,,
2.0022,1.40044,24.982,2.50E-02,,,10.0795,1.40318,37.85,,,,,,,,,,
2.00248,1.400496,24.854,2.49E-02,,,10.0827,1.403308,37.85,,,,,,,,,,
2.00283,1.400566,24.645,2.46E-02,,,10.0866,1.403464,37.9,,,,,,,,,,
2.00327,1.400654,24.337,2.43E-02,,,10.0914,1.403656,38,,,,,,,,,,
2.00382,1.400764,23.919,2.39E-02,,,10.0975,1.4039,38.15,,,,,,,,,,
2.0045,1.4009,23.405,2.34E-02,,,10.0985,1.40394,38.15,,,,,,,,,,
2.00471,1.400942,23.214,2.32E-02,,,10.0997,1.403988,38.15,,,,,,,,,,
2.00498,1.400996,22.999,2.30E-02,,,10.1011,1.404044,38.2,,,,,,,,,,
2.00532,1.401064,22.718,2.27E-02,,,10.103,1.40412,38.2,,,,,,,,,,
2.00573,1.401146,22.369,2.24E-02,,,10.1053,1.404212,38.2,,,,,,,,,,
2.00626,1.401252,21.979,2.20E-02,,,10.1082,1.404328,38.2,,,,,,,,,,
2.00691,1.401382,21.606,2.16E-02,,,10.1091,1.404364,38.2,,,,,,,,,,
2.00772,1.401544,21.205,2.12E-02,,,10.1103,1.404412,38.2,,,,,,,,,,
2.00874,1.401748,20.575,2.06E-02,,,10.1117,1.404468,38.2,,,,,,,,,,
2.01002,1.402004,19.41,1.94E-02,,,10.1135,1.40454,38.2,,,,,,,,,,
2.01042,1.402084,18.883,1.89E-02,,,10.1157,1.404628,38.25,,,,,,,,,,
2.01092,1.402184,18.089,1.81E-02,,,10.1184,1.404736,38.3,,,,,,,,,,
2.01154,1.402308,16.493,1.65E-02,,,10.1219,1.404876,38.4,,,,,,,,,,
2.01169,1.402338,15.887,1.59E-02,,,10.123,1.40492,38.45,,,,,,,,,,
2.01185,1.40237,15.219,1.52E-02,,,10.1243,1.404972,38.5,,,,,,,,,,
2.01204,1.402408,14.066,1.41E-02,,,10.126,1.40504,38.55,,,,,,,,,,
2.0121,1.40242,13.563,1.36E-02,,,10.1281,1.405124,38.65,,,,,,,,,,
2.01218,1.402436,12.88,1.29E-02,,,10.1295,1.40518,38.75,,,,,,,,,,
2.01228,1.402456,11.665,1.17E-02,,,10.1311,1.405244,38.95,,,,,,,,,,
2.01231,1.402462,11.116,1.11E-02,,,10.1316,1.405264,39.05,,,,,,,,,,
2.01234,1.402468,10.35,1.03E-02,,,10.1323,1.405292,39.25,,,,,,,,,,
2.01239,1.402478,9.117,9.12E-03,,,10.1325,1.4053,39.35,,,,,,,,,,
2.01245,1.40249,7.091,7.09E-03,,,10.1327,1.405308,39.55,,,,,,,,,,
2.01252,1.402504,3.861,3.86E-03,,,10.133,1.40532,40,,,,,,,,,,
2.01254,1.402508,2.776,2.78E-03,,,10.1333,1.405332,40,,,,,,,,,,
2.01256,1.402512,1.734,1.73E-03,,,10.1337,1.405348,40,,,,,,,,,,
2.01258,1.402516,0.314,3.14E-04,,,10.1337,1.405348,40,,,,,,,,,,
2.01261,1.402522,-1.709,-1.71E-03,,,10.1338,1.405352,40,,,,,,,,,,
2.01264,1.402528,-4.659,-4.66E-03,,,10.1339,1.405356,40,,,,,,,,,,
2.01269,1.402538,-8.566,-8.57E-03,,,10.134,1.40536,40,,,,,,,,,,
2.01274,1.402548,-11.434,-1.14E-02,,,10.1342,1.405368,40,,,,,,,,,,
2.01281,1.402562,-10.064,-1.01E-02,,,10.1344,1.405376,40,,,,,,,,,,
2.01288,1.402576,-7.157,-7.16E-03,,,10.1346,1.405384,40,,,,,,,,,,
2.01295,1.40259,-5.395,-5.40E-03,,,10.1349,1.405396,40,,,,,,,,,,
2.01303,1.402606,-1.883,-1.88E-03,,,10.1353,1.405412,40,,,,,,,,,,
2.01314,1.402628,3.99,3.99E-03,,,10.1358,1.405432,40,,,,,,,,,,
2.01325,1.40265,7.873,7.87E-03,,,10.1364,1.405456,40,,,,,,,,,,
2.01336,1.402672,7.542,7.54E-03,,,10.1371,1.405484,40,,,,,,,,,,
2.01339,1.402678,6.946,6.95E-03,,,10.1378,1.405512,40,,,,,,,,,,
2.01341,1.402682,5.996,6.00E-03,,,10.1386,1.405544,40,,,,,,,,,,
2.01345,1.40269,4.141,4.14E-03,,,10.1393,1.405572,40,,,,,,,,,,
2.01349,1.402698,1.346,1.35E-03,,,10.14,1.4056,40,,,,,,,,,,
2.01354,1.402708,-1.593,-1.59E-03,,,10.1408,1.405632,40,,,,,,,,,,
2.01361,1.402722,-3.654,-3.65E-03,,,10.1415,1.40566,40,,,,,,,,,,
2.01369,1.402738,-4.657,-4.66E-03,,,10.1422,1.405688,40,,,,,,,,,,
2.01379,1.402758,-5.411,-5.41E-03,,,10.1431,1.405724,40,,,,,,,,,,
2.01392,1.402784,-4.118,-4.12E-03,,,10.1441,1.405764,40,,,,,,,,,,
2.01408,1.402816,1.63,1.63E-03,,,10.145,1.4058,40,,,,,,,,,,
2.01424,1.402848,4.996,5.00E-03,,,10.1459,1.405836,40,,,,,,,,,,
2.0144,1.40288,3.763,3.76E-03,,,10.1468,1.405872,40,,,,,,,,,,
2.01461,1.402922,-0.708,-7.08E-04,,,10.1477,1.405908,40,,,,,,,,,,
2.01481,1.402962,-3.545,-3.54E-03,,,10.1486,1.405944,40,,,,,,,,,,
2.01501,1.403002,-2.289,-2.29E-03,,,10.1495,1.40598,40,,,,,,,,,,
2.01526,1.403052,1.526,1.53E-03,,,10.1507,1.406028,40,,,,,,,,,,
2.01557,1.403114,3.041,3.04E-03,,,10.1518,1.406072,40,,,,,,,,,,
2.01589,1.403178,-2.841,-2.84E-03,,,10.153,1.40612,40,,,,,,,,,,
2.0162,1.40324,-2.692,-2.69E-03,,,10.1541,1.406164,40,,,,,,,,,,
2.01652,1.403304,3.021,3.02E-03,,,10.1553,1.406212,40,,,,,,,,,,
2.01683,1.403366,3.968,3.97E-03,,,10.1564,1.406256,40,,,,,,,,,,
2.01722,1.403444,-3.486,-3.49E-03,,,10.1576,1.406304,40,,,,,,,,,,
2.01762,1.403524,-3.879,-3.88E-03,,,10.1587,1.406348,40,,,,,,,,,,
2.01801,1.403602,4.754,4.75E-03,,,10.1601,1.406404,40,,,,,,,,,,
2.0185,1.4037,1.058,1.06E-03,,,10.1619,1.406476,40,,,,,,,,,,
2.01899,1.403798,-4.43,-4.43E-03,,,10.1637,1.406548,40,,,,,,,,,,
2.01948,1.403896,2.157,2.16E-03,,,10.1655,1.40662,40,,,,,,,,,,
2.01997,1.403994,1.937,1.94E-03,,,10.1673,1.406692,40,,,,,,,,,,
2.02046,1.404092,-3.307,-3.31E-03,,,10.1691,1.406764,40,,,,,,,,,,
2.02095,1.40419,0.714,7.14E-04,,,10.1713,1.406852,40,,,,,,,,,,
2.02157,1.404314,2.249,2.25E-03,,,10.1736,1.406944,40,,,,,,,,,,
2.02172,1.404344,-0.425,-4.25E-04,,,10.1758,1.407032,40,,,,,,,,,,
2.02188,1.404376,-2.368,-2.37E-03,,,10.1786,1.407144,40,,,,,,,,,,
2.02207,1.404414,-2.472,-2.47E-03,,,10.1814,1.407256,40,,,,,,,,,,
2.02231,1.404462,0.03,2.97E-05,,,10.1842,1.407368,40,,,,,,,,,,
2.02261,1.404522,1.732,1.73E-03,,,10.1877,1.407508,40,,,,,,,,,,
2.02298,1.404596,-0.271,-2.71E-04,,,10.1912,1.407648,40,,,,,,,,,,
2.02345,1.40469,-0.354,-3.54E-04,,,10.1947,1.407788,40,,,,,,,,,,
2.02403,1.404806,0.809,8.09E-04,,,10.1982,1.407928,40,,,,,,,,,,
2.02477,1.404954,-1.273,-1.27E-03,,,10.2025,1.4081,40,,,,,,,,,,
