Lambda,S22_m005,S22_m01,S22_m04,S22_m08
1,0,0,0,0
1.005,7.04E-05,5.29E-05,4.30E-05,2.30E-05
1.01,1.31E-04,1.15E-04,9.31E-05,7.95E-05
1.015,1.91E-04,1.77E-04,1.43E-04,1.36E-04
1.02,2.50E-04,2.39E-04,1.93E-04,1.92E-04
1.025,3.10E-04,3.01E-04,2.43E-04,2.48E-04
1.03,3.70E-04,3.63E-04,2.93E-04,3.04E-04
1.035,4.29E-04,4.24E-04,3.43E-04,3.60E-04
1.04,4.89E-04,4.85E-04,3.93E-04,4.15E-04
1.045,5.48E-04,5.47E-04,4.43E-04,4.71E-04
1.05,6.07E-04,6.08E-04,4.93E-04,5.27E-04
1.055,6.66E-04,6.69E-04,5.43E-04,5.82E-04
1.06,7.25E-04,7.30E-04,5.93E-04,6.38E-04
1.065,7.84E-04,7.91E-04,6.44E-04,6.93E-04
1.07,8.44E-04,8.52E-04,6.94E-04,7.49E-04
1.075,9.03E-04,9.13E-04,7.45E-04,8.05E-04
1.08,9.64E-04,9.75E-04,7.97E-04,8.62E-04
1.085,1.03E-03,1.04E-03,8.50E-04,9.20E-04
1.09,1.09E-03,1.10E-03,9.05E-04,9.80E-04
1.095,1.15E-03,1.17E-03,9.62E-04,1.04E-03
1.1,1.22E-03,1.24E-03,1.02E-03,1.11E-03
1.105,1.30E-03,1.32E-03,1.09E-03,1.18E-03
1.11,1.38E-03,1.40E-03,1.17E-03,1.26E-03
1.115,1.47E-03,1.48E-03,1.25E-03,1.35E-03
1.12,1.56E-03,1.58E-03,1.35E-03,1.45E-03
1.125,1.67E-03,1.68E-03,1.45E-03,1.55E-03
1.13,1.78E-03,1.80E-03,1.57E-03,1.67E-03
1.135,1.91E-03,1.92E-03,1.70E-03,1.81E-03
1.14,2.05E-03,2.05E-03,1.85E-03,1.95E-03
1.145,2.19E-03,2.20E-03,2.01E-03,2.11E-03
1.15,2.36E-03,2.35E-03,2.19E-03,2.29E-03
1.155,2.53E-03,2.52E-03,2.38E-03,2.47E-03
1.16,2.72E-03,2.71E-03,2.58E-03,2.68E-03
1.165,2.92E-03,2.90E-03,2.80E-03,2.90E-03
1.17,3.14E-03,3.12E-03,3.04E-03,3.13E-03
1.175,3.39E-03,3.36E-03,3.29E-03,3.39E-03
1.18,3.65E-03,3.62E-03,3.57E-03,3.67E-03
1.185,3.95E-03,3.92E-03,3.87E-03,3.98E-03
1.19,4.29E-03,4.25E-03,4.21E-03,4.32E-03
1.195,4.67E-03,4.64E-03,4.59E-03,4.72E-03
1.2,5.12E-03,5.09E-03,5.01E-03,5.17E-03
