Lambda, Sigma
1.0016077170418005, 0.008810572687224738
1.117363344051447, 0
1.1961414790996785, 0.017621145374449476
1.2556270096463023, 0.026431718061674214
1.297427652733119, 0.0704845814977979
1.3311897106109325, 0.21145374449339194
1.3488745980707395, 0.3612334801762114
1.364951768488746, 0.590308370044053
1.379421221864952, 0.9427312775330399
1.40032154340836, 1.3832599118942732
1.4180064308681672, 1.682819383259912
1.4405144694533762, 2.035242290748899
