Lambda, sigma
1, 0
1.1688102893890675, 0.008810572687224738
1.2990353697749195, 0.03524229074889851
1.3681672025723473, 0.14096916299559492
1.392282958199357, 0.3348017621145376
1.409967845659164, 0.6519823788546257
1.422829581993569, 0.9515418502202644
1.432475884244373, 1.2599118942731278
