Lambda, sigma
1.0016077170418005, 0
1.094855305466238, 0.03524229074889851
1.147909967845659, 0.1145374449339207
1.184887459807074, 0.22907488986784186
1.2540192926045015, 0.7048458149779737
1.3006430868167203, 1.0572687224669606
1.3488745980707395, 1.444933920704846
1.3954983922829582, 1.7973568281938328
1.442122186495177, 2.052863436123348
