Lambda,S22_m005,S22_m01,S22_m04,S22_m08
1,0,0,0,0
1.005,7.16E-05,7.57E-05,-3.13E-06,-8.09E-05
1.01,1.40E-04,1.44E-04,1.22E-04,-1.64E-05
1.015,2.08E-04,2.12E-04,1.89E-04,4.78E-05
1.02,2.76E-04,2.80E-04,2.56E-04,1.12E-04
1.025,3.44E-04,3.48E-04,3.23E-04,2.95E-04
1.03,4.11E-04,4.16E-04,3.90E-04,3.61E-04
1.035,4.78E-04,4.83E-04,4.57E-04,4.28E-04
1.04,5.45E-04,5.50E-04,5.24E-04,4.94E-04
1.045,6.12E-04,6.18E-04,5.90E-04,5.60E-04
1.05,6.79E-04,6.85E-04,6.56E-04,6.25E-04
1.055,7.46E-04,7.51E-04,7.22E-04,6.91E-04
1.06,8.12E-04,8.18E-04,7.88E-04,7.56E-04
1.065,8.79E-04,8.85E-04,8.54E-04,8.22E-04
1.07,9.45E-04,9.51E-04,9.20E-04,8.87E-04
1.075,1.01E-03,1.02E-03,9.86E-04,9.53E-04
1.08,1.08E-03,1.08E-03,1.05E-03,1.02E-03
1.085,1.15E-03,1.15E-03,1.12E-03,1.09E-03
1.09,1.21E-03,1.22E-03,1.19E-03,1.15E-03
1.095,1.28E-03,1.29E-03,1.26E-03,1.22E-03
1.1,1.35E-03,1.36E-03,1.33E-03,1.30E-03
1.105,1.43E-03,1.44E-03,1.40E-03,1.37E-03
1.11,1.51E-03,1.52E-03,1.48E-03,1.45E-03
1.115,1.59E-03,1.60E-03,1.57E-03,1.54E-03
1.12,1.68E-03,1.69E-03,1.66E-03,1.63E-03
1.125,1.77E-03,1.79E-03,1.75E-03,1.73E-03
1.13,1.88E-03,1.89E-03,1.86E-03,1.84E-03
1.135,1.99E-03,2.00E-03,1.97E-03,1.96E-03
1.14,2.11E-03,2.12E-03,2.09E-03,2.08E-03
1.145,2.23E-03,2.25E-03,2.22E-03,2.21E-03
1.15,2.37E-03,2.38E-03,2.35E-03,2.35E-03
1.155,2.51E-03,2.53E-03,2.50E-03,2.50E-03
1.16,2.67E-03,2.69E-03,2.66E-03,2.65E-03
1.165,2.85E-03,2.87E-03,2.83E-03,2.83E-03
1.17,3.04E-03,3.06E-03,3.02E-03,3.01E-03
1.175,3.25E-03,3.27E-03,3.23E-03,3.22E-03
1.18,3.49E-03,3.51E-03,3.47E-03,3.45E-03
1.185,3.76E-03,3.78E-03,3.74E-03,3.72E-03
1.19,4.07E-03,4.10E-03,4.05E-03,4.02E-03
1.195,4.44E-03,4.46E-03,4.41E-03,4.38E-03
1.2,4.88E-03,4.90E-03,4.85E-03,4.81E-03
