Lambda, Sigma
1, 0
1.0434083601286173, 0
1.2106109324758842, 0.017621145374449476
1.3440514469453375, 0.017621145374449476
1.3762057877813505, 0.061674008810573167
1.4035369774919615, 0.20264317180616764
1.4212218649517685, 0.4493392070484583
1.4340836012861737, 0.8458149779735684
1.442122186495177, 1.2951541850220265
