Lambda, Sigma
1.0016077170418005, 0
1.112540192926045, 0
1.252411575562701, 0.017621145374449476
1.3183279742765275, 0.1145374449339207
1.3456591639871383, 0.31718061674008835
1.3681672025723473, 0.6784140969162997
1.3858520900321545, 1.0308370044052864
1.3954983922829582, 1.3832599118942732
