Time,Lambda Force,Force,,,Time Crack,Lambda Crack,Crack Length
6.98374,1.2793496,-2.38E-07,,,6.98374,1.2793496,40
7.0265,1.28106,-1.51E-06,,,7.0265,1.28106,40
7.06926,1.2827704,2.89E-06,,,7.06926,1.2827704,40
7.11203,1.2844812,-3.92E-06,,,7.11203,1.2844812,40
7.15479,1.2861916,4.69E-06,,,7.15479,1.2861916,40
7.19756,1.2879024,-5.19E-06,,,7.19756,1.2879024,40
7.24032,1.2896128,5.51E-06,,,7.24032,1.2896128,40
7.29378,1.2917512,-5.36E-06,,,7.29378,1.2917512,40
7.34723,1.2938892,5.29E-06,,,7.34723,1.2938892,40
7.40069,1.2960276,-5.10E-06,,,7.40069,1.2960276,40
7.45414,1.2981656,4.87E-06,,,7.45414,1.2981656,40
7.52096,1.3008384,-4.45E-06,,,7.52096,1.3008384,40
7.58778,1.3035112,4.12E-06,,,7.58778,1.3035112,40
7.6546,1.306184,-3.69E-06,,,7.6546,1.306184,40
7.73812,1.3095248,3.37E-06,,,7.73812,1.3095248,40
7.82165,1.312866,-3.00E-06,,,7.82165,1.312866,40
7.90517,1.3162068,2.67E-06,,,7.90517,1.3162068,40
8.00958,1.3203832,-2.33E-06,,,8.00958,1.3203832,40
8.14008,1.3256032,2.01E-06,,,8.14008,1.3256032,40
8.27059,1.3308236,-1.72E-06,,,8.27059,1.3308236,40
8.4011,1.336044,1.47E-06,,,8.4011,1.336044,40
8.5611,1.342444,-1.08E-06,,,8.5611,1.342444,40
8.7211,1.348844,1.07E-06,,,8.7211,1.348844,40
8.88109,1.3552436,-4.64E-07,,,8.88109,1.3552436,40
9.04109,1.3616436,1.11E-06,,,9.04109,1.3616436,40
9.20109,1.3680436,-3.23E-07,,,9.20109,1.3680436,40
9.36109,1.3744436,6.72E-07,,,9.36109,1.3744436,40
9.5211,1.380844,-2.32E-07,,,9.5211,1.380844,40
9.6811,1.387244,4.32E-07,,,9.6811,1.387244,40
9.84109,1.3936436,-1.10E-07,,,9.84109,1.3936436,40
10.0011,1.400044,2.73E-07,,,10.0011,1.400044,40
10.1611,1.406444,-2.19E-08,,,10.1611,1.406444,40
10.3211,1.412844,1.62E-07,,,10.3211,1.412844,40
10.4811,1.419244,3.68E-08,,,10.4811,1.419244,40
10.6411,1.425644,8.65E-08,,,10.6411,1.425644,40
10.8011,1.432044,7.32E-08,,,10.8011,1.432044,40
10.9611,1.438444,3.36E-08,,,10.9611,1.438444,40
11.1211,1.444844,9.37E-08,,,11.1211,1.444844,40
11.2811,1.451244,-4.14E-09,,,11.2811,1.451244,40
11.4411,1.457644,1.03E-07,,,11.4411,1.457644,40
11.6011,1.464044,-3.08E-08,,,11.6011,1.464044,40
11.7611,1.470444,1.06E-07,,,11.7611,1.470444,40
11.9211,1.476844,-4.85E-08,,,11.9211,1.476844,40
12.0811,1.483244,1.03E-07,,,12.0811,1.483244,40
12.2411,1.489644,-5.90E-08,,,12.2411,1.489644,40
12.4011,1.496044,9.81E-08,,,12.4011,1.496044,40
12.5611,1.502444,-6.41E-08,,,12.5611,1.502444,40
12.7211,1.508844,9.12E-08,,,12.7211,1.508844,40
12.8811,1.515244,-6.51E-08,,,12.8811,1.515244,40
13.0411,1.521644,8.33E-08,,,13.0411,1.521644,40
13.2011,1.528044,-6.32E-08,,,13.2011,1.528044,40
13.3611,1.534444,7.52E-08,,,13.3611,1.534444,40
13.5211,1.540844,-5.97E-08,,,13.5211,1.540844,40
13.6811,1.547244,6.72E-08,,,13.6811,1.547244,40
13.8411,1.553644,-5.50E-08,,,13.8411,1.553644,40
14.0011,1.560044,5.95E-08,,,14.0011,1.560044,40
14.1611,1.566444,-4.99E-08,,,14.1611,1.566444,40
14.3211,1.572844,5.23E-08,,,14.3211,1.572844,40
14.4811,1.579244,-4.47E-08,,,14.4811,1.579244,40
14.6411,1.585644,4.56E-08,,,14.6411,1.585644,40
14.8011,1.592044,-3.95E-08,,,14.8011,1.592044,40
14.9611,1.598444,3.96E-08,,,14.9611,1.598444,40
15.1211,1.604844,2.50E-06,,,15.1211,1.604844,40
15.2811,1.611244,2.47E-06,,,15.2811,1.611244,40
15.4411,1.617644,1.93E-06,,,15.4411,1.617644,40
15.6011,1.624044,1.75E-06,,,15.6011,1.624044,40
15.7611,1.630444,1.32E-06,,,15.7611,1.630444,40
15.9211,1.636844,1.22E-06,,,15.9211,1.636844,40
16,1.64,1.61E-07,,,16,1.64,40
